owner,repo_name,pull_number,url,commit_sha,commit_message,commit_date,pushed_date,changed_files,total_additions,total_deletions,state,Is_first_commit,pr_create_date,pr_created_date
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,ce730f1,"Update release workflow to use uv instead of pip

- Replace pip with uv for faster, more reliable package management
- Add explicit uv installation step
- Use --system flag to install packages to system Python

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-29T08:51:24Z,2025-04-29T08:51:52Z,.github/workflows/release.yml,17,7,MERGED,False,,2025-04-29T08:39:59Z
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,479bb6d,update Dockerfile with ARG,2025-04-29T08:51:52Z,2025-04-29T08:51:52Z,".github/workflows/ci.yml,deploy/docker/Dockerfile",8,8,MERGED,False,,2025-04-29T08:39:59Z
yumemi-inc,Tart,120,https://github.com/yumemi-inc/Tart/pull/120,033ce2f,"refactor: improve MessageMiddleware API with factory function pattern

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-20T11:42:35Z,2025-04-20T11:42:35Z,"tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt,tart-message/src/commonTest/kotlin/io/yumemi/tart/message/MessageMiddlewareTest.kt",21,12,MERGED,True,,2025-04-20T13:18:04Z
yumemi-inc,Tart,120,https://github.com/yumemi-inc/Tart/pull/120,fe44b64,refactor: refine LoggingMiddleware with factory function pattern,2025-04-21T02:02:59Z,2025-04-21T02:02:59Z,"tart-logging/src/commonMain/kotlin/io/yumemi/tart/logging/LoggingMiddleware.kt,tart-logging/src/commonTest/kotlin/io/yumemi/tart/logging/LoggingMiddlewareTest.kt",39,23,MERGED,False,,2025-04-20T13:18:04Z
yumemi-inc,Tart,120,https://github.com/yumemi-inc/Tart/pull/120,50b74ce,Update README,2025-04-21T02:32:35Z,2025-04-21T02:32:35Z,README.md,14,10,MERGED,False,,2025-04-20T13:18:04Z
geneontology,go-ontology,30207,https://github.com/geneontology/go-ontology/pull/30207,1074523,"Fix GO:0036402 proteasome-activating activity term relationships

- Removed logical definition (intersection_of) that had incorrect part_of GO:1901800
- Added relationship: has_part to GO:0016887 (ATP hydrolysis activity)
- Added relationship: part_of to GO:0010498 (proteasomal protein catabolic process)
- Added issue tracker reference to term

Fixes #30183

Signed-off-by: Chris Mungall <cjm@berkeleybop.org>",2025-04-30T03:27:16Z,2025-04-30T03:27:16Z,src/ontology/go-edit.obo,3,2,MERGED,False,,2025-04-30T01:03:18Z
yumemi-inc,Tart,117,https://github.com/yumemi-inc/Tart/pull/117,72e77b5,refactor: make transaction method suspend and wait for completion,2025-04-19T11:32:39Z,2025-04-19T11:32:39Z,"tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt",4,3,MERGED,True,,2025-04-19T11:33:02Z
yumemi-inc,Tart,117,https://github.com/yumemi-inc/Tart/pull/117,1e96a1e,test: add assertion to verify initial store state,2025-04-19T11:44:34Z,2025-04-19T11:44:34Z,tart-core/src/commonTest/kotlin/io/yumemi/tart/core/StoreBaseTest.kt,4,0,MERGED,False,,2025-04-19T11:33:02Z
giselles-ai,giselle,788,https://github.com/giselles-ai/giselle/pull/788,8dc1142,"Add animated completion status to workflow nodes

Enhance node completion visualization by replacing static ""Completed"" label with animated version that fades out after displaying for 2 seconds when a node transitions from ""running"" to ""completed"" state.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-30T07:42:19Z,2025-04-30T07:42:19Z,internal-packages/workflow-designer-ui/src/editor/node/node.tsx,33,5,MERGED,True,,2025-04-30T07:42:37Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,3b3e20d,"Extract URL parameter handling into dedicated module

- Create new url-params.js module for URL parameter handling
- Move query string parsing and processing logic from main.js
- Add unit tests for the new module
- Update CLAUDE.md with npm start warning

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-30T16:29:49Z,2025-04-30T16:29:49Z,"CLAUDE.md,src/main.js,src/url-params.js,tests/unit/test-url-params.js",292,107,MERGED,True,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,161c217,"Handle array URL parameters and improve parameter processing

- Update parseQueryString to handle array parameters properly
- Refine URL parameter processing in main.js
- Ensure parameters without values like 'noseek' work correctly
- Add tests for handling URL parameters with and without values",2025-04-30T17:44:22Z,2025-04-30T17:44:22Z,"src/main.js,src/url-params.js,tests/unit/test-url-params.js",210,54,MERGED,False,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,f6fe71a,Self review,2025-04-30T17:50:15Z,2025-04-30T17:50:15Z,src/main.js,7,7,MERGED,False,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,2d2caaf,More work,2025-04-30T18:36:30Z,2025-04-30T18:36:30Z,"src/main.js,src/url-params.js,tests/unit/test-url-params.js",282,81,MERGED,False,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,ddfdc5e,Add comprehensive tests for url-params.js module and refactor guessModelFromUrl,2025-04-30T18:50:16Z,2025-04-30T18:50:16Z,"src/main.js,src/url-params.js,tests/unit/test-url-params.js",89,19,MERGED,False,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,511d9bf,Simplify URL parameter handling and improve tests,2025-04-30T19:18:12Z,2025-04-30T19:18:12Z,"src/url-params.js,tests/unit/test-url-params.js",54,41,MERGED,False,,2025-04-30T16:30:25Z
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,278c1c9,Update CLAUDE.md,2025-04-30T19:28:39Z,2025-04-30T19:28:39Z,CLAUDE.md,27,6,MERGED,False,,2025-04-30T16:30:25Z
geneontology,go-ontology,30145,https://github.com/geneontology/go-ontology/pull/30145,0bf26ce,"Add part reactions for GO:0006086 pyruvate decarboxylation to acetyl-CoA fixes #30126

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-21T15:56:15Z,2025-04-21T15:56:15Z,src/ontology/go-edit.obo,4,0,MERGED,True,,2025-04-21T15:57:56Z
geneontology,go-ontology,30145,https://github.com/geneontology/go-ontology/pull/30145,6754c3e,"Update relationship types for GO:0006086 pyruvate decarboxylation to acetyl-CoA

Updated relationship types based on consensus in issue #30126:
- Changed 'has_part' to 'starts_with' for GO:0004739 (pyruvate dehydrogenase activity)
- Changed 'has_part' to 'ends_with' for GO:0004742 (dihydrolipoyllysine-residue acetyltransferase activity)
- Retained 'has_part' for GO:0004148 (dihydrolipoyl dehydrogenase activity)

These changes provide more specific process order information about the pyruvate dehydrogenase complex activities.

Fixes #30126

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-28T18:26:46Z,2025-04-28T18:26:46Z,src/ontology/go-edit.obo,3,3,MERGED,False,,2025-04-21T15:57:56Z
Tiberriver256,mcp-server-azure-devops,168,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,3e861a2,"feat(pipelines): implement trigger-pipeline functionality

- Add trigger-pipeline feature to run Azure DevOps pipelines
- Support specifying branch and variables for pipeline runs
- Add comprehensive documentation with examples
- Add unit and integration tests

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-18T02:37:56Z,2025-04-18T02:37:56Z,"README.md,docs/tools/pipelines.md,src/features/pipelines/index.ts,src/features/pipelines/trigger-pipeline/feature.spec.int.ts,src/features/pipelines/trigger-pipeline/feature.spec.unit.ts,src/features/pipelines/trigger-pipeline/feature.ts,src/features/pipelines/trigger-pipeline/index.ts,src/features/pipelines/trigger-pipeline/schema.ts,src/features/pipelines/types.ts,src/server.ts",561,2,MERGED,True,,2025-04-18T02:44:12Z
yumemi-inc,Tart,119,https://github.com/yumemi-inc/Tart/pull/119,27cc72b,test: add middleware integration test with external data source,2025-04-20T06:37:21Z,2025-04-20T06:37:21Z,tart-core/src/commonTest/kotlin/io/yumemi/tart/core/MiddlewareTest.kt,97,0,MERGED,True,,2025-04-20T06:37:59Z
anthropics,claude-code,794,https://github.com/anthropics/claude-code/pull/794,1183388,"Add GitHub workflow for issue triage with available labels

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-15T00:20:21Z,2025-04-15T00:20:21Z,".github/actions/claude-code-action/action.yml,.github/actions/claude-issue-triage-action/action.yml,.github/workflows/claude-issue-triage.yml",246,0,MERGED,True,,2025-04-15T00:23:22Z
vfarcic,crossplane-sql,145,https://github.com/vfarcic/crossplane-sql/pull/145,f0b0399,Claude,2025-04-20T18:14:52Z,2025-04-20T18:14:52Z,".gitignore,CLAUDE.md,devbox.json,devbox.lock,dot.nu,eksctl-config-dot.yaml,examples/aws-ack.md,examples/aws.md,examples/azure-aso-secret.yaml,examples/azure-aso.md,examples/azure-aso.yaml,prompts/apply-service.md,prompts/create-diagram.md,prompts/observe-service.md,scripts/ack.nu,scripts/aso.nu",286,79,MERGED,True,,2025-04-20T18:16:24Z
pozar87,apts,14,https://github.com/pozar87/apts/pull/14,0b41d17,"Add custom template and CSS options to notification system

- Add custom_template and css parameters to Observation.to_html() and Notify.send()
- Implement CSS injection into HTML templates
- Add example file showing custom template usage
- Add comprehensive tests for the new functionality
- Update README.md with information about customization options
- Bump version to 0.4.4

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-16T18:39:36Z,2025-04-16T18:41:01Z,"README.md,apts/__init__.py,apts/notify.py,apts/observations.py,examples/check.py,examples/custom_template.py,tests/notify_test.py,tests/observations_test.py",267,7,MERGED,True,,2025-04-16T18:40:26Z
pozar87,apts,14,https://github.com/pozar87/apts/pull/14,38d6714,Revert package version from 0.4.4 to 0.4.3,2025-04-16T18:41:01Z,2025-04-16T18:41:01Z,apts/__init__.py,1,1,MERGED,False,,2025-04-16T18:40:26Z
giselles-ai,giselle,787,https://github.com/giselles-ai/giselle/pull/787,6f03d4b,"Fix language model toolbar positioning

Improved the positioning of the language model toolbar popover by:
1. Adding relative class to the toggle group item
2. Fixing the calculation for left positioning of the detail panel
3. Removing the end alignment to center the popover correctly

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-30T07:21:09Z,2025-04-30T07:21:09Z,internal-packages/workflow-designer-ui/src/editor/tool/toolbar/component.tsx,6,3,MERGED,True,,2025-04-30T07:21:49Z
yumemi-inc,Tart,115,https://github.com/yumemi-inc/Tart/pull/115,0201f27,Refactor state handlers to use generic StateHandler pattern,2025-04-17T11:41:50Z,2025-04-17T11:41:50Z,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreBuilder.kt,11,26,MERGED,True,,2025-04-18T04:07:38Z
yumemi-inc,Tart,115,https://github.com/yumemi-inc/Tart/pull/115,8775320,Refactor StateHandler implementation to improve type safety and consistency,2025-04-18T04:05:44Z,2025-04-18T04:05:44Z,"tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreBuilder.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt",23,56,MERGED,True,,2025-04-18T04:07:38Z
giselles-ai,giselle,768,https://github.com/giselles-ai/giselle/pull/768,44896e2,"Update AI SDK dependencies

- Update ai from 4.3.6 to 4.3.9
- Update @ai-sdk/openai from 1.3.12 to 1.3.18
- Update @ai-sdk/google from 1.2.11 to 1.2.13

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-25T00:54:23Z,2025-04-25T00:54:23Z,"apps/playground/tsconfig.tsbuildinfo,pnpm-lock.yaml,pnpm-workspace.yaml",30,30,MERGED,True,,2025-04-25T00:55:05Z
giselles-ai,giselle,768,https://github.com/giselles-ai/giselle/pull/768,d8cba27,Update docs/packages-license.md,2025-04-25T00:55:41Z,2025-04-25T00:55:41Z,docs/packages-license.md,3,3,MERGED,False,,2025-04-25T00:55:05Z
yumemi-inc,Tart,118,https://github.com/yumemi-inc/Tart/pull/118,5ac99bc,refactor: enhance middleware lifecycle with store alignment and factory function,2025-04-20T02:05:19Z,2025-04-20T02:05:19Z,"tart-core/src/commonMain/kotlin/io/yumemi/tart/core/Middleware.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/MiddlewareScope.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt,tart-logging/src/commonMain/kotlin/io/yumemi/tart/logging/LoggingMiddleware.kt,tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt",97,9,MERGED,False,,2025-04-19T14:12:51Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,c593a59,"Add plot_planets() method to Observation class

- Add plot_planets() method similar to plot_messier()
- Method shows planets altitude by their transit times
- Update version to 0.4.1

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-08T14:40:21Z,2025-04-08T14:40:21Z,"apts/__init__.py,apts/observations.py",52,1,MERGED,True,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,81e6916,"Fix plot_planets() method and add tests

- Fix handling of Pint units in the planet plot
- Use direct matplotlib plotting instead of pandas plot
- Add proper marker sizing based on planet size
- Add test for plot_planets() method

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-08T17:26:07Z,2025-04-08T17:26:07Z,"apts/observations.py,tests/messier_test.py",62,42,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,52ebc80,"Update plot_messier() to use object sizes for markers

- Update _generate_plot_messier() to use direct matplotlib plotting
- Scale marker sizes based on geometric mean of width and height
- Use logarithmic scaling for better size distribution
- Handle objects without Height field gracefully
- Add empty plot handling when no objects are visible

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-08T17:46:35Z,2025-04-08T17:46:35Z,apts/observations.py,62,38,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,a62a81b,"feat: Color Messier objects by type, add legend, increase plot size",2025-04-08T18:00:12Z,2025-04-08T18:03:13Z,apts/observations.py,36,11,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,da56e0c,feat: Increase planet plot size for better visibility,2025-04-08T18:00:21Z,2025-04-08T18:03:13Z,apts/observations.py,2,2,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,878a895,fix: Use string literal for 'Type' column access,2025-04-08T18:03:13Z,2025-04-08T18:03:13Z,apts/observations.py,1,1,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,623850f,"Update gitignore for aider, fix size and messier scaling, update test
notebook",2025-04-08T18:41:27Z,2025-04-08T18:41:39Z,".gitignore,Test.ipynb,apts/observations.py",1141,716,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,a1807ba,Update Test.ipynb,2025-04-08T18:41:39Z,2025-04-08T18:41:39Z,Test.ipynb,463,463,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,7a082af,refactor: Pass args to subplots and remove fig return,2025-04-08T19:05:24Z,2025-04-08T19:05:29Z,apts/observations.py,4,4,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,0b27627,feat: Allow providing external axes for Messier/Planet plots,2025-04-08T19:05:29Z,2025-04-08T19:05:29Z,apts/observations.py,10,3,MERGED,False,,2025-04-08T17:18:47Z
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,61c4198,"Allow custom axes to be passed to plotting methods, enabling more
flexible figure composition. Keep original behavior intact when no axes
are provided. Added proper axes extraction and handling across all
relevant visualization methods.",2025-04-09T11:00:23Z,2025-04-09T11:00:23Z,"Test.ipynb,apts/observations.py",496,488,MERGED,False,,2025-04-08T17:18:47Z
natolambert,rlhf-book,112,https://github.com/natolambert/rlhf-book/pull/112,70ea1c5,"Fix various typos across book chapters

- Fix duplicate ""the the"" in chapters 14 and 17
- Add space in mathematical notation in chapter 4
- Fix capitalization in ""George W. Bush"", ""Jeb Bush"", and ""Arizona"" in chapter 1
- Fix grammar in chapter 17
- Fix ""a industrialized"" to ""an industrialized"" in chapter 16
- Add proper hyphenation for ""community-driven"" and ""third-party"" in chapter 16

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-20T14:59:13Z,2025-04-20T14:59:13Z,"chapters/01-introduction.md,chapters/04-optimization.md,chapters/14-reasoning.md,chapters/16-evaluation.md,chapters/17-over-optimization.md",7,7,MERGED,True,,2025-04-20T15:00:24Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,63c824f,"`0.9.19`

Signed-off-by: Brent Yi <yibrenth@gmail.com>",2025-04-17T22:45:10Z,2025-04-17T22:45:10Z,"src/tyro/__init__.py,src/tyro/_cli.py",2,3,MERGED,True,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,71de36f,"Add registry parameter to tyro.extras helpers

- Add registry parameter to subcommand_cli_from_dict, SubcommandApp.cli, and overridable_config_cli
- Pass registry parameter to underlying tyro.cli() calls
- Use modern type hint syntax with from __future__ import annotations for Python 3.8+ compatibility
- Update docstrings to document the registry parameter

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-18T00:25:27Z,2025-04-18T00:25:27Z,"docs/source/examples/hierarchical_structures.rst,src/tyro/extras/_base_configs.py,src/tyro/extras/_subcommand_app.py,src/tyro/extras/_subcommand_cli_from_dict.py,tests/test_custom_constructors.py,tests/test_py311_generated/test_custom_constructors_generated.py",48,231,MERGED,True,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,211bf7d,sync,2025-04-18T00:41:51Z,2025-04-18T00:41:51Z,"docs/source/examples/hierarchical_structures.rst,tests/test_py311_generated/test_duplicate_subcommand_warning_generated.py",5,4,MERGED,False,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,1969dda,Merge branch 'main' into add-registry-to-extras,2025-04-18T00:47:10Z,2025-04-18T00:47:10Z,,0,0,MERGED,False,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,f4ec9c1,ruff,2025-04-18T06:25:02Z,2025-04-18T06:25:16Z,tests/test_py311_generated/test_duplicate_subcommand_warning_generated.py,0,1,MERGED,False,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,3eb569e,Merge branch 'add-registry-to-extras' of github.com:brentyi/tyro into add-registry-to-extras,2025-04-18T06:25:16Z,2025-04-18T06:25:16Z,,0,0,MERGED,False,,2025-04-18T00:28:06Z
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,4733f5e,Revert test changes,2025-04-18T06:37:54Z,2025-04-18T06:37:54Z,"tests/test_custom_constructors.py,tests/test_py311_generated/test_custom_constructors_generated.py",204,0,MERGED,False,,2025-04-18T00:28:06Z
mattermost,mattermost-mobile,8797,https://github.com/mattermost/mattermost-mobile/pull/8797,c65dcc3,"Add watchman watch-del-all to clean script

This ensures watchman watches are reset during cleanup, preventing issues after upgrades.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-24T17:25:43Z,2025-04-24T17:25:43Z,scripts/clean.sh,6,0,MERGED,True,,2025-04-24T17:27:22Z
mattermost,mattermost-mobile,8797,https://github.com/mattermost/mattermost-mobile/pull/8797,6da1599,"Use watchman watch-del instead of watch-del-all

Only reset watches for the current project directory instead of all watches.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-24T20:18:36Z,2025-04-24T20:18:36Z,scripts/clean.sh,3,3,MERGED,False,,2025-04-24T17:27:22Z
giselles-ai,giselle,744,https://github.com/giselles-ai/giselle/pull/744,51aadb2,"Update OpenAI models to use OptionalSearchGrounding capability

Changed several OpenAI model definitions to use OptionalSearchGrounding instead of SearchGrounding capability flag to indicate that web search is optional for these models.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-22T03:57:57Z,2025-04-22T03:57:57Z,packages/language-model/src/openai.ts,4,4,MERGED,True,,2025-04-22T03:58:21Z
giselles-ai,giselle,744,https://github.com/giselles-ai/giselle/pull/744,3a688a6,Replace SearchGrounding with OptionalSearchGrounding,2025-04-23T00:27:13Z,2025-04-23T00:27:13Z,"internal-packages/workflow-designer-ui/src/editor/properties-panel/text-generation-node-properties-panel/model/openai.tsx,packages/giselle-engine/src/core/generations/generate-text.ts",5,2,MERGED,False,,2025-04-22T03:58:21Z
