PRs Information,,,,,
owner,repo_name,url,pull_number,state,Final Label
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/195,195,CLOSED,Are not in the community interest
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/524,524,CLOSED,Unknown (No feedback provided)
SpinaCMS,Spina,https://github.com/SpinaCMS/Spina/pull/1399,1399,CLOSED,Unknown (No feedback provided)
google,tensorstore,https://github.com/google/tensorstore/pull/222,222,CLOSED,Are obsolete
OpenAdaptAI,OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/946,946,CLOSED,Are implementated by other PRs/developers
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2532,2532,CLOSED,Are inactivie: (author / community )
osmosis-labs,osmosis,https://github.com/osmosis-labs/osmosis/pull/9029,9029,CLOSED,Are inactivie: (author / community )
osmosis-labs,osmosis,https://github.com/osmosis-labs/osmosis/pull/9027,9027,CLOSED,Unknown (No feedback provided)
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/80,80,CLOSED,Unknown (No feedback provided)
Mastercard,terraform-provider-restapi,https://github.com/Mastercard/terraform-provider-restapi/pull/285,285,CLOSED,Unknown (No feedback provided)
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/61,61,CLOSED,Unknown (No feedback provided)
mrwadams,stride-gpt,https://github.com/mrwadams/stride-gpt/pull/60,60,CLOSED,Unknown (No feedback provided)
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/9,9,CLOSED,Unknown (No feedback provided)
pymc-devs,pytensor,https://github.com/pymc-devs/pytensor/pull/1248,1248,CLOSED,Are implementated by other PRs/developers
o1-labs,proof-systems,https://github.com/o1-labs/proof-systems/pull/3175,3175,CLOSED,Unknown (No feedback provided)
mattermost,docker,https://github.com/mattermost/docker/pull/168,168,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1846,1846,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1760,1760,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1782,1782,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1733,1733,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1739,1739,CLOSED,Unknown (No feedback provided)
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1736,1736,CLOSED,Unknown (No feedback provided)
brentyi,jaxls,https://github.com/brentyi/jaxls/pull/27,27,CLOSED,Unknown (No feedback provided)
bendotcodes,cookies,https://github.com/bendotcodes/cookies/pull/872,872,CLOSED,Unknown (No feedback provided)
ltwlf,json-diff-ts,https://github.com/ltwlf/json-diff-ts/pull/211,211,CLOSED,Are implementated by other PRs/developers
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/599,599,CLOSED,Submission for Verification
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/671,671,CLOSED,Are implementated by other PRs/developers
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/658,658,CLOSED,Not sure
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/664,664,CLOSED,Are implementated by other PRs/developers
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6400,6400,CLOSED,Introduce bugs / break APIs / breaks compatibility
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6404,6404,CLOSED,Unknown (No feedback provided)
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6410,6410,CLOSED,Increase complexity
codeforjapan,mapprint,https://github.com/codeforjapan/mapprint/pull/519,519,CLOSED,Unknown (No feedback provided)
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/97,97,CLOSED,Unknown (No feedback provided)
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/90,90,CLOSED,Unknown (No feedback provided)
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/98,98,CLOSED,Unknown (No feedback provided)
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/86,86,CLOSED,Unknown (No feedback provided)
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/74,74,CLOSED,Unknown (No feedback provided)
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3650,3650,CLOSED,Unknown (No feedback provided)
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3572,3572,CLOSED,Unknown (No feedback provided)
coder,modules,https://github.com/coder/modules/pull/417,417,CLOSED,Unknown (No feedback provided)
coder,packages,https://github.com/coder/packages/pull/210,210,CLOSED,Are implementated by other PRs/developers
empirical-org,Empirical-Core,https://github.com/empirical-org/Empirical-Core/pull/12838,12838,CLOSED,Unknown (No feedback provided)
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features/pull/5,5,CLOSED,Unknown (No feedback provided)
muno92,resharper_inspectcode,https://github.com/muno92/resharper_inspectcode/pull/521,521,CLOSED,Unknown (No feedback provided)
snapshot-labs,sx-monorepo,https://github.com/snapshot-labs/sx-monorepo/pull/1254,1254,CLOSED,Unknown (No feedback provided)
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/58,58,CLOSED,Are too large
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/16,16,CLOSED,Submission for Verification
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/31,31,CLOSED,Unknown (No feedback provided)
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/18,18,CLOSED,Are obsolete
