owner,repo_name,C3,pull_number,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,created_at,merged_at,time_to_merge
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/749,749,2024-05-04T00:44:51Z,142,3,3,317,0,1d728052c40ef6ef83280299a7728bd00c138dfb,489c09c870b66b8013ab07eab1e05e2037d968d1,509d9ecc62fa0448e804ad999a75f7c88e0d22f6,f06695177bbd8af24012207c831b7f0b3bc9c047,cmungall,MERGED,2024-05-04T00:44:51Z,2024-05-09T00:32:47Z,"4 days, 23:47:56"
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/817,817,2024-10-18T19:29:43Z,142,2,0,0,0,6640f6100d2f7268bb823ad6807cf851d3f61735,65ce4526b96d68bd1b9f83c5990ec65ee60835a0,0a8c60861d2533953331145d5d3256696cd7736b,89409be1dcea0f3c68ee67b9c5a2a384f65b7eec,cmungall,MERGED,2024-10-18T19:29:43Z,2024-10-18T19:30:27Z,0:00:44
JoshuaC215,agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/68,68,2024-10-26T15:04:33Z,3015,1,1,3,3,8a84e02b4dae5bfaa6edf001457f4a2532e6965c,a17116fb78f96722dc89393acb44eb8d4df527fa,1efa70a4d49321114b23a179892ffc4b584dec0f,8a84e02b4dae5bfaa6edf001457f4a2532e6965c,JoshuaC215,MERGED,2024-10-26T15:04:33Z,2024-10-26T15:06:07Z,0:01:34
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/174,174,2025-03-10T17:28:26Z,2551,2,1,1,1,2e8cd47133dca0f5f9b83231eb93ad255cfe08a7,85ec16319e6c4180003cb6800d8f0cb4248723fb,9be58a35561cfb46d1b36d8c6588568b2f0d7fc3,af592b281a35aadeb5f2db0eb4e0be816ee52adf,BBleae,MERGED,2025-03-10T17:28:26Z,2025-03-10T20:33:32Z,3:05:06
MaiM-with-u,MaiBot,https://github.com/MaiM-with-u/MaiBot/pull/194,194,2025-03-11T08:09:46Z,2551,2,4,33,29,b6867b904d358bd6e1f285556ac950f4a576df76,4b4a2916e5c589284cac03b2d9b3da31712e846e,c48a84b59f491d960e702a9ab51b478ffeefa45f,c3e0fbe45eb68bc90c306765b667138b51af8dbc,BBleae,MERGED,2025-03-11T08:09:46Z,2025-03-11T08:11:41Z,0:01:55
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/18,18,2025-02-13T15:30:17Z,18,4,10,737,171,4ef1a881583bad609b83ed988b5216c5b44fdaec,b0447b22834c330c397bd8f44fb6d0405fba7ca9,fed223551c9b702c603d8db336b80d41f95afdf5,6c7588c3c2210a05ca856c0bdc74fa08471a502d,anneschuth,MERGED,2025-02-13T15:30:17Z,2025-02-13T18:39:47Z,3:09:30
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/14,14,2025-02-10T15:41:57Z,18,1,14,504,99,b661b1ddf05eed4f6a1b77d4181eb9b8fb3aedd4,9f8c0bb846b2ff07de523b69c18f11ca4adf03b7,be3dd4c053a55236f4dbc91f5d5e1aa276028751,b661b1ddf05eed4f6a1b77d4181eb9b8fb3aedd4,anneschuth,MERGED,2025-02-10T15:41:57Z,2025-02-10T15:42:07Z,0:00:10
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/30,30,2025-02-24T12:17:42Z,18,1,2,59,2,48389719257c70078cc289ac941cd68168f1b267,08dbc7cc471edf78606818fdab384efa60a3ccd3,d176b157fce9e9b2d0596c41283e6612ddbe1320,48389719257c70078cc289ac941cd68168f1b267,anneschuth,MERGED,2025-02-24T12:17:42Z,2025-02-24T12:28:59Z,0:11:17
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/80,80,2025-03-14T12:05:43Z,18,1,14,153,20,bca4e8e45025dbab482fd95a8c0ea422f1582632,f4ec7c3dd681ee13174fb3c3077e5a9954dbb967,46154d2a722bd7a95926721e396662dc82c5b770,bca4e8e45025dbab482fd95a8c0ea422f1582632,anneschuth,MERGED,2025-03-14T12:05:43Z,2025-03-14T12:18:11Z,0:12:28
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/25,25,2025-02-21T12:54:45Z,18,1,1,214,202,582c082ea738c6514a7b2641f8d7e4f26d7694c1,586104b2fa0ef521256909fb940625d72b1004ef,2bb4d13dcb2784c68110418d168969eabbf9935e,582c082ea738c6514a7b2641f8d7e4f26d7694c1,anneschuth,MERGED,2025-02-21T12:54:45Z,2025-02-21T12:57:43Z,0:02:58
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/19,19,2025-02-16T11:28:09Z,18,3,9,223,58,7ce3e503e64088bab975f2dabbfdd24972b300a6,02dc944999e49c2d55dc876af841117bcc8280a0,b0447b22834c330c397bd8f44fb6d0405fba7ca9,505a1c8dfe7a88f567674908be78b41aa804f9b1,anneschuth,MERGED,2025-02-16T11:28:09Z,2025-02-16T11:31:04Z,0:02:55
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/48,48,2025-03-18T05:39:26Z,25,2,4,110,379,246755342374bf8f46da610f39292a5a3c1c1b6a,3150bc11c492ba39ec7870f7deef632a67373f1b,1df2fad912133375c99d80d7a83415efcc802ff1,0534c48b4b1e9c2b9d2caafc9b41cda61bb76e72,Nayshins,MERGED,2025-03-18T05:39:26Z,2025-03-18T06:00:48Z,0:21:22
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/44,44,2025-03-18T04:43:32Z,25,1,18,17,3329,f0f79cd0e18eaf90ce31bfbeb4c7b2e0e3e2b454,df81304ab9b33983c1f67bdf08554f971931ae04,93e9ded549ee085c1f84b57b23cbe729752e271a,f0f79cd0e18eaf90ce31bfbeb4c7b2e0e3e2b454,Nayshins,MERGED,2025-03-18T04:43:32Z,2025-03-18T04:45:12Z,0:01:40
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/58,58,2025-04-02T04:48:13Z,25,1,7,576,35,4c5cba29f548019eb8708a4cc7553beda514a0f6,ee0c210f197bce4907a09c7d9ebb4959ec947346,5e039d51b84e1c8008e18c131744a80099cd0a96,4c5cba29f548019eb8708a4cc7553beda514a0f6,Nayshins,MERGED,2025-04-02T04:48:13Z,2025-04-02T04:50:29Z,0:02:16
OpenAdaptAI,OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/680,680,2024-05-22T16:30:24Z,1289,1,1,1,0,1b52f0f62bdd4d3fc535baa77494f26ef07e1e1f,6621a04208ab4a076ce0a8175621d1934a0d730e,7837c3f9d8c7fd2443d35ac0f605e54183c23e7d,1b52f0f62bdd4d3fc535baa77494f26ef07e1e1f,abrichr,MERGED,2024-05-22T16:30:24Z,2024-05-22T16:42:11Z,0:11:47
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/52,52,2025-04-15T23:00:00Z,656,10,18,1375,1298,af28611c41fcf0d1018e6f424d3900493d272568,eb98b8943550dc163aa720cf6aa0950b8b1583f4,095ab4856853cadd2213b1bd8a6262d036cc9515,dea86976c4c320132db5270a0b3f5cdab6e84c6f,corbt,MERGED,2025-04-15T23:00:00Z,2025-04-16T20:57:16Z,21:57:16
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/44,44,2025-04-12T23:54:30Z,656,2,5,44,4,489e6dda900f66e5563cdbb2e7eadb5c0526115e,03bef622ca015d99f18d8a4ca6ffeb733f2c5625,5ac5644039716ddb4544a2e2068caada47d1442d,8717a398574487d4fbdb9e9b50d8afc129feb6cd,corbt,MERGED,2025-04-12T23:54:30Z,2025-04-14T15:00:28Z,"1 day, 15:05:58"
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/13891,13891,2024-09-10T23:54:59Z,9923,3,2,3,11,bbcd37eb93353bd004f8724f2728afd46555e8a0,48b8631004de0db885e133e2da8d1a5ce930e2d1,75bcd8a79001d0bc4f605bd550190c49f5a5cb87,155299aef11db5740226902b3baf27d21968bdbc,dannyroosevelt,MERGED,2024-09-10T23:54:59Z,2024-09-11T03:33:49Z,3:38:50
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/16157,16157,2025-04-03T00:08:39Z,9923,6,13,18,18,253647634f10c916fe3a7a3f1457b25e9e013b49,9738e9f064b10aab651d4bdaf3afd95462f0a61d,219fe2050475ac7987b235dcce8b1dcb98109e64,777e6964846501bcc403e302acee43c8d4d28f57,dannyroosevelt,MERGED,2025-04-03T00:08:39Z,2025-04-03T00:09:54Z,0:01:15
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/16397,16397,2025-04-22T18:07:53Z,9923,2,3,19,9,a001c07d9723028b9dccd550849e56e5144ff192,8386954ae5e2966660e36ea6f5817cca20974e01,3c31a74f7ab997d2b07c8ff08f70d77b9a1cc98e,e86398966b9e9bcc7795847150cce1246874e881,dannyroosevelt,MERGED,2025-04-22T18:07:53Z,2025-04-22T18:11:55Z,0:04:02
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/12212,12212,2024-06-01T22:13:56Z,9923,17,8,56,62,ea00dc8ea8a3c3a0c4a0737fe8562660ade24ed4,1f11d501c94ea3dc31c94293d920e5b67f6b1943,41adff3f38393207e85e33ead5fdbe80ae42e78a,4cc67b8f09462200b0e21668b506777041ebd43d,dannyroosevelt,MERGED,2024-06-01T22:13:56Z,2024-06-05T19:22:25Z,"3 days, 21:08:29"
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/15063,15063,2024-12-23T22:20:17Z,9923,3,2,18,1,96cdc593a30b62eeab7f153995edfe9adeef1d8d,f0cda0c29fecab5a3c8ff2afba8574e0cfee33ba,ecc849ac299594d351b1d969896571be07bf5327,a3f7b7c15b31a4392fd44c572a5b5535b8c10645,dannyroosevelt,MERGED,2024-12-23T22:20:17Z,2024-12-23T22:27:05Z,0:06:48
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/13882,13882,2024-09-10T03:44:36Z,9923,6,4,56,20,b6ea69cfd5beaaf1aa15f4c17cc5d45546471126,9decc020568601d28230e5335780a59acad40287,386b64cb6f717c48b3a0fcc8f30984b2218994e3,1ad42dfcfe16958f9fe0679a7e9c236fe024c7e5,dannyroosevelt,MERGED,2024-09-10T03:44:36Z,2024-09-10T16:47:04Z,13:02:28
PolicyEngine,policyengine-app,https://github.com/PolicyEngine/policyengine-app/pull/1967,1967,2024-08-14T03:48:06Z,57,2,3,52,0,56dd45d0d230bdbc5d2f88315c3e8c7d47cc4ff0,9a87d6019dfc51c12ddba279f8baad7aa5dd2261,8d4e4fd7286deef9a2428c34efc1922b40dd3dd1,099731992568d0ff15a4bb560921c31674c4a851,MaxGhenis,MERGED,2024-08-14T03:48:06Z,2024-08-14T04:04:11Z,0:16:05
Shopify,app_profiler,https://github.com/Shopify/app_profiler/pull/167,167,2025-04-10T15:30:08Z,247,1,3,6,2,a66bbeb91c0e4c1aabaef39415996084c6771a2a,e6be357b70ae8ae450cbce3b1a9dd80d52a52450,e2c8de85632123432fa50b6c4f1d8c349a048ebf,a66bbeb91c0e4c1aabaef39415996084c6771a2a,rwstauner,MERGED,2025-04-10T15:30:08Z,2025-04-10T18:07:03Z,2:36:55
SoftFever,OrcaSlicer,https://github.com/SoftFever/OrcaSlicer/pull/6554,6554,2024-08-24T19:16:26Z,9821,5,20,286,5,90b6c0c3674baa29bc7cc8347e1df7d07995a103,c30ffb189542152e47e3e2d2df1f5cf00b81bfff,7d1fb381e4295512472180a3529b22f908b43ee1,296f01993e94634b1deef19bcf2183e26ca87842,kennethjiang,MERGED,2024-08-24T19:16:26Z,2024-08-27T15:28:03Z,"2 days, 20:11:37"
SpinaCMS,Spina,https://github.com/SpinaCMS/Spina/pull/1400,1400,2025-03-01T16:42:14Z,2238,7,10,209,165,96f2e2944b369bdeb0731cdd1f3d7a6e2a37d985,8f7d438d874593ce1d70b3733c35f5e4c1a5bbc2,d5b7770c51eda8bcb0a1f2aa7850069b00a3ea76,78e7946960e4486b44651dfe5fa2f595865e09d2,Bramjetten,MERGED,2025-03-01T16:42:14Z,2025-03-01T18:05:44Z,1:23:30
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/161,161,2025-04-11T12:38:06Z,229,5,10,314,6,aa81b0f1cbac0df4df9d2c9d4adf9c56a6ceb079,89ce4732ba754632540ffb45ceae323f9675c023,0c98acda7868138d501d53e641a8a30d6cca387d,ef577be345446207b319ed2a4972bb1623c6ecfd,ap9035,MERGED,2025-04-11T12:38:06Z,2025-04-16T00:23:03Z,"4 days, 11:44:57"
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/166,166,2025-04-16T03:24:41Z,229,4,11,506,15,4235c1b09ed89f261c455cf85a1b3ab5b3e81ce3,e3073401e141b566191be16ed4f9b7925c2849eb,af70e778374b6355dd66e1647ffd1b8400b77eeb,6281f11d76e28963c8e7139ae9e8bc7afeacdb3f,ap9035,MERGED,2025-04-16T03:24:41Z,2025-04-17T12:27:50Z,"1 day, 9:03:09"
Wan-Video,Wan2.1,https://github.com/Wan-Video/Wan2.1/pull/44,44,2025-02-26T07:32:22Z,11993,2,1,1,0,65819c1d08768d484ca20a020da8428be99e4396,0e3c42a830ef87941983a6a494e8df0f90e616d2,73648654c5242bd8e11bd05ea36ffa87a6424ff6,387cc23c1a1e6eec65445c4e3dea865d9789d9ae,g7adrian,MERGED,2025-02-26T07:32:22Z,2025-02-26T10:56:58Z,3:24:36
airbytehq,airbyte,https://github.com/airbytehq/airbyte/pull/56401,56401,2025-03-25T21:56:14Z,18350,1,5,25,16,f8260191859b08bae1f396be9dd1b82cb349bac2,231b7dcd8a8bf3819bdc2ca9a2b165f87ad913eb,a22756f7e7c7d8753fff209a6ca642a6c828c40d,f8260191859b08bae1f396be9dd1b82cb349bac2,burakku,MERGED,2025-03-25T21:56:14Z,2025-03-27T21:23:03Z,"1 day, 23:26:49"
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/2,2,2024-09-15T14:06:18Z,20,3,1,41,20,30bc6ecc4b28392d3b6c743084ad840f2fe1db8c,1636c1eec8da0d00ec3d53159b0005575f0ef54b,cbacc24b4c892bb18d2a9325fdb9f881612654cf,2d9111bdd48a9df4bdf8b88e0efe63633fd5c7d4,aklinker1,MERGED,2024-09-15T14:06:18Z,2024-09-15T14:10:19Z,0:04:01
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/9,9,2024-09-21T04:33:59Z,20,5,1,0,5,cecf6cc8304bf584cb884e134f743d26acb730b5,e348ee2c74d764d54ec43c400e55d3a3b00ad2df,4ccf6dad5ffdccd526fbd9563033037c40c36311,45bb3de10ff8b13cc24c53a5c97c83282745188d,aklinker1,MERGED,2024-09-21T04:33:59Z,2024-09-21T04:34:17Z,0:00:18
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/1,1,2024-09-14T16:51:05Z,20,1,6,304,305,aa8ec7d8d5fe8b400cf0c4c97917d5d6bd8aa061,cbacc24b4c892bb18d2a9325fdb9f881612654cf,77c0c36daeeb40bb7b10f4def5e825f5bd566182,aa8ec7d8d5fe8b400cf0c4c97917d5d6bd8aa061,aklinker1,MERGED,2024-09-14T16:51:05Z,2024-09-14T16:54:19Z,0:03:14
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/4,4,2024-09-17T17:22:33Z,20,11,2,67,21,7dc032100fda582d18d115cc9b2bfd3a70faab54,b7ee550ffcac2ab6275e007e60d6d32e9c7afb3d,d311410c536bf449f5882609dfe9c73a0e426b8e,8099ad6fd657099f1fb63448183d1ddf7e8823ef,aklinker1,MERGED,2024-09-17T17:22:33Z,2024-09-17T17:23:11Z,0:00:38
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/3,3,2024-09-17T16:11:13Z,20,2,2,31,0,a723082b12dc639a16ff504495b6eefd7b4736ba,d311410c536bf449f5882609dfe9c73a0e426b8e,ea8d6fa462ae24b2791d3bce9860508ebb368cef,01115c6d6a7b972847cbe529704d977becb7204d,aklinker1,MERGED,2024-09-17T16:11:13Z,2024-09-17T16:12:40Z,0:01:27
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/10,10,2024-09-21T12:54:12Z,20,7,3,47,7,6ebfc1b4a8b8b1649738e9738b784c72259b40ad,66f0b4d5dd3b7c69983ba23aa11106d2fb88e078,87320279ea9be73b8517dfa4c2e76d35b7aa7afc,0fe800c639440a5e154c1991a227b16e4ee67e71,aklinker1,MERGED,2024-09-21T12:54:12Z,2024-09-21T13:16:06Z,0:21:54
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/25,25,2025-04-10T17:29:47Z,20,1,1,4,1,5f5ff1cda70b59a5c137ccf33dd105dcd0cffc22,b855bbf0b4353ff7600303714f54bdd18116ed03,835f458dbb65c6f5b70157253f3c649b21e91e3b,5f5ff1cda70b59a5c137ccf33dd105dcd0cffc22,aklinker1,MERGED,2025-04-10T17:29:47Z,2025-04-10T17:32:27Z,0:02:40
aleph-im,aleph-vm,https://github.com/aleph-im/aleph-vm/pull/754,754,2025-02-18T11:51:03Z,50,1,1,18,0,734e4ca4e56122fd0b8e2c2415af3bd7bbb21835,4c4354df46cbc338deb93e89a57ef330bb21ceda,bb1158ae818a5a059a8ed8101750806387117529,734e4ca4e56122fd0b8e2c2415af3bd7bbb21835,nesitor,MERGED,2025-02-18T11:51:03Z,2025-02-18T17:22:58Z,5:31:55
aleph-im,aleph-vm,https://github.com/aleph-im/aleph-vm/pull/680,680,2024-08-21T21:38:07Z,50,5,3,20,23,8511bef7516534f424f98997f8359308ab597b15,4aa662b696e897aa8c015cfc99db16c9b8e825df,2414198abb508239984f36ddc5c59bedee01f037,c3207524554a9c03c1ef74f0745750ecee5c3ba4,nesitor,MERGED,2024-08-21T21:38:07Z,2024-08-23T11:27:21Z,"1 day, 13:49:14"
aleph-im,pyaleph,https://github.com/aleph-im/pyaleph/pull/599,599,2024-08-27T15:24:31Z,90,2,2,10,1,8133e0cb83c67e4b137658adaef2b319f8577dd6,9802a41e6198b7b0672bbac07870c5875dadff37,38f8fa7361e6d697e3843a1800cb1c942a9656f7,e79aa8ac89afbab9764c95900f06d199052a5359,nesitor,MERGED,2024-08-27T15:24:31Z,2024-08-28T09:44:03Z,18:19:32
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/5,5,2025-04-06T17:10:19Z,121,1,3,10,22,2828e1aec508ea6bc2b3bdd740288d893d42aa39,43ecc915e02188e667d11b9e96b79bf4f7df491e,8ad99cde170e0888aeb9f6e7b6af64e296e16613,2828e1aec508ea6bc2b3bdd740288d893d42aa39,alexei-led,MERGED,2025-04-06T17:10:19Z,2025-04-06T17:12:55Z,0:02:36
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/7,7,2025-04-07T08:09:15Z,121,1,8,31,69,c24876a6cf0da6228ebface3dba96c64c5816b3e,729d35dfe75000964743dacf37b8c90b27ac4ea0,e332112c79d05f20fa9c6686e66f8e5bac490f1b,c24876a6cf0da6228ebface3dba96c64c5816b3e,alexei-led,MERGED,2025-04-07T08:09:15Z,2025-04-07T08:11:25Z,0:02:10
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/8,8,2025-04-07T17:19:20Z,121,11,18,2561,403,1295793703d805f6fcc471f878606f94c0e734b5,3725257ff4a55bda58f779cb3aa3a70156aaf3af,f10f7c8f02703458572314a36eac4321b561af9b,1f5aa02c360bda3dc1ed3043d5e796b6b8fb8329,alexei-led,MERGED,2025-04-07T17:19:20Z,2025-04-08T08:12:25Z,14:53:05
alexei-led,k8s-mcp-server,https://github.com/alexei-led/k8s-mcp-server/pull/2,2,2025-04-16T11:36:02Z,140,9,6,414,74,879e3ea739aa594600c3bff806d1e9f68b6a7cd5,2895ebaccea7ad9c2f519b43c80185f0d949be1a,b78ebefefe3ba6f1bac1c5bc917a5f1e2d8acad6,05c4261954978a8d04bb1f848d08ccc292a05f29,alexei-led,MERGED,2025-04-16T11:36:02Z,2025-04-16T12:15:25Z,0:39:23
alexfedosov,move-tool,https://github.com/alexfedosov/move-tool/pull/3,3,2025-03-18T11:21:36Z,78,4,14,545,2,d2f57e8e676c2f7be5bd116ab5e8ce03c5736331,abbfc9ee07bd6c8108525efb4076388c8c00f1aa,fbe7080c9df8a80d0aa726c3c471a441f9696beb,583710969bc2bafae4c3a340358a6bff5a7cbd11,alexfedosov,MERGED,2025-03-18T11:21:36Z,2025-03-18T11:36:44Z,0:15:08
allenai,open-instruct,https://github.com/allenai/open-instruct/pull/422,422,2024-11-07T05:13:58Z,2994,2,2,13,2,c8988a4f65c67d81fbcce8383f3f8508e7fe1e66,2bc1772f115da412bfb7c705305307a8f2a6b0dc,bdc3fa6e79c455b1b9ef6c4170b688ed4aa0c5e0,f7090723c5e220b482c232d7e0fa3baddcc41f33,hamishivi,MERGED,2024-11-07T05:13:58Z,2024-11-07T20:31:03Z,15:17:05
