owner,repo_name,pull_number,url,state,initial_commit,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change,text
aklinker1,bunv,19,https://github.com/aklinker1/bunv/pull/19,MERGED,1,17,8,25,1,fix: handle non-interactive terminals when prompting for version installation
aklinker1,bunv,20,https://github.com/aklinker1/bunv/pull/20,MERGED,1,12,2,14,3,fix: gracefully handle UserAborted errors
aklinker1,bunv,22,https://github.com/aklinker1/bunv/pull/22,MERGED,1,3,0,3,1,fix: create parent directories before installation
alexfedosov,move-tool,4,https://github.com/alexfedosov/move-tool/pull/4,MERGED,1,8,0,8,2,"Remove move-tool binary from repository

- Removed the binary file 'move-tool' from Git tracking
- Updated .gitignore to prevent committing Go binaries and shared objects
- Added specific rule for 'move-tool' binary

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
anthropics,anthropic-quickstarts,261,https://github.com/anthropics/anthropic-quickstarts/pull/261,MERGED,1,11,2,13,1,"fix: respect user-selected tool version in computer use demo

Ensure the tool version selected via the radio button is properly used
in API calls instead of defaulting to the model config value. This
allows custom model strings to specify the computer use beta version
they require.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
anthropics,claude-code,794,https://github.com/anthropics/claude-code/pull/794,MERGED,1,246,0,246,3,"Add GitHub workflow for issue triage with available labels

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
anthropics,devcontainer-features,6,https://github.com/anthropics/devcontainer-features/pull/6,MERGED,2,3,2,5,2,"Bump Claude Code CLI version to 1.0.1

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>
Make Claude Code feature container public

Added features-visibility: ""public"" to the workflow config to make the published package publicly accessible.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
artsy,eigen,11672,https://github.com/artsy/eigen/pull/11672,MERGED,1,142,146,288,1,"refactor(BidButton): convert class component to functional component

Refactored BidButton from a class component to a functional component using modern React practices:
- Replace @track decorator with useTracking hook
- Convert class methods to functional component functions
- Use proper tracking patterns
- Simplified component structure

All tests passing, no functionality changes.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>
Co-Authored-By: George <g.kartalis7@gmail.com>"
artsy,force,15294,https://github.com/artsy/force/pull/15294,MERGED,3,105,81,186,2,"test: convert ArtistNationalityFilter test from Enzyme to RTL

Migrates the ArtistNationalityFilter.jest.enzyme.tsx test to use React Testing Library instead of Enzyme, following the pattern used by other modern tests in the ArtworkFilters directory.

This is part of the ongoing effort to modernize the test suite by moving away from Enzyme.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>
test: add assertion about component title
chore: remove obsolete Enzyme test for ArtistNationalityFilter

Removes the Enzyme version of the ArtistNationalityFilter test since it's been
replaced with the React Testing Library version in the previous commit.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
ascorbic,unpic-img,782,https://github.com/ascorbic/unpic-img/pull/782,MERGED,1,5,0,5,1,chore: add changeset for react deps update
ascorbic,unpic-img,784,https://github.com/ascorbic/unpic-img/pull/784,MERGED,1,21,0,21,1,"docs: add CLAUDE.md with development guide

Add a reference guide for agents with build commands and code style conventions.

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
axelclark,ex338,1355,https://github.com/axelclark/ex338/pull/1355,MERGED,1,14,29,43,6,"Upgrade to Elixir 1.18.3 and Erlang 27.3

- Update Elixir from 1.17.2 to 1.18.3 and Erlang from 27.0.1 to 27.3
- Update GitHub Actions workflow with latest versions
- Remove unused functions in FantasyTeamAuthorizer
- Fix test to be order independent

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
bcpeinhardt,learn_otp_with_gleam,4,https://github.com/bcpeinhardt/learn_otp_with_gleam/pull/4,MERGED,1,4,4,8,4,"Fix typos in Gleam code files

- Fix possessive ""its"" in pantry.gleam
- Correct ""advantages"" spelling in concurrency_primitives.gleam
- Fix ""gets"" apostrophe in a_shit_actor.gleam
- Change ""Sidenote"" to ""Side note"" in tasks.gleam

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
beatrix-ha,beatrix,23,https://github.com/beatrix-ha/beatrix/pull/23,MERGED,1,7,7,14,3,"Rename project to Beatrix

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
beekeeper-studio,beekeeper-studio,2859,https://github.com/beekeeper-studio/beekeeper-studio/pull/2859,MERGED,3,108,126,234,5,"updating docs
Merge pull request #2730 from beekeeper-studio/docs-update-for-new-pricing

updating docs
Fix DuckDB client issues

- Fixed getTableReferences method to use parameters instead of hardcoded values
- Removed debugging console.log statements from createUpsertSQL method
- Added tests for getTableReferences and createUpsertSQL methods

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
brentyi,tyro,270,https://github.com/brentyi/tyro/pull/270,MERGED,1,400,326,726,5,"Refactor struct rules into separate files

This PR reorganizes the struct rule implementation by moving extension-specific
code from _struct_spec.py into separate files:

- _struct_spec_dataclass.py: Dataclass-specific code and utilities
- _struct_spec_attrs.py: Attrs-related code
- _struct_spec_pydantic.py: Pydantic models support
- _struct_spec_flax.py: Flax-specific utilities

The main _struct_spec.py file now focuses on core registry functionality and
registers rules from the extension modules. This makes the codebase more
maintainable and easier to extend with new rules.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
chairemobilite,transition,1267,https://github.com/chairemobilite/transition/pull/1267,MERGED,1,141,104,245,6,"fix: move map layers config from preferences to dedicated config

Problem:
Currently map layer visibility settings are stored in user preferences, making
it impossible for new layers to be visible to existing users, as the app copies
the defaults into user preferences which are then never updated.

Solution:
- Move layer visibility configurations from defaultPreferences.config.ts to
  a dedicated sectionLayers export in layers.config.ts
- Update TransitionMainMap to use this configuration first, with fallback to
  user preferences for backward compatibility
- Remove layer configuration from default preferences
- Add unit tests to validate the changes

This change ensures new layers will be visible to all users while maintaining
backward compatibility.

closes #1265

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
cloudflare,workerd,3819,https://github.com/cloudflare/workerd/pull/3819,MERGED,1,50,0,50,1,"Add daily release GitHub workflow

This workflow automatically updates supported-compatibility-date.txt every day at 00:30 UTC,
triggering a new release with that day's date.

Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
cloudflare,workerd,3893,https://github.com/cloudflare/workerd/pull/3893,MERGED,1,107,48,155,7,"Add platform-agnostic formatter targets

Create a simplified bazel setup for code formatters that:
1. Adds platform-agnostic formatter targets under build/deps/formatters
2. Updates the format.py script to use the new targets
3. Adds VS Code integration for the formatters in settings.json
4. Uses copy_file to create physical files in bazel-bin

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
codeforjapan,mapprint,530,https://github.com/codeforjapan/mapprint/pull/530,MERGED,1,455,9,464,5,"Implement and test KML file support for Nuxt 3

- Add robust KML parsing tests
- Improve PrintableMap component to handle local KML files
- Add fallback paths for development environment
- Add better error handling for KML parsing
- Create a local KML test configuration

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
codefriar,sf-mcp,1,https://github.com/codefriar/sf-mcp/pull/1,MERGED,2,501,46,547,7,"feat: add Salesforce project directory handling for contextual command execution
feat: add contextual execution with project directory detection

Add project directory management for commands that require a Salesforce project context. Includes better error handling for command execution and improved error reporting.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
coder,coder,17292,https://github.com/coder/coder/pull/17292,MERGED,1,84,113,197,1,"fix: simplify docs-preview workflow

- Replace composite action with inline Bash steps
- Simplify file analysis algorithm to avoid dependency on accurate git history
- Fix error with document structure analysis

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
commontoolsinc,labs,839,https://github.com/commontoolsinc/labs/pull/839,MERGED,1,13,2,15,1,"Fix mentions to appear immediately after typing @ (#808)

The mention suggestions previously required typing at least one character after
the @ symbol to appear. This change allows the dropdown to appear immediately
when @ is typed.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
cpunion,axum-params,27,https://github.com/cpunion/axum-params/pull/27,MERGED,1,1,38,39,2,"ci: pin codecov action version and remove release workflow

• Update codecov-action to use specific version v5.0.5
• Remove release.yml workflow

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
danmayer,coverband,583,https://github.com/danmayer/coverband/pull/583,MERGED,1,92,0,92,2,"Add Coverband.track_key method

This adds a top-level method for manually tracking keys with supported trackers.
It addresses GitHub issue #549 by providing a public API to track translation keys.

- Adds Coverband.track_key(tracker_type, key) method
- Validates tracker type (view_tracker, translations_tracker, routes_tracker)
- Includes comprehensive test coverage
- Handles error conditions gracefully

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
daytonaio,docs,286,https://github.com/daytonaio/docs/pull/286,MERGED,1,1,1,2,1,"update: Replace demo link with new contact URL

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>
Signed-off-by: nkkko <nikola.balic@gmail.com>"
dbieber,GoNoteGo,93,https://github.com/dbieber/GoNoteGo/pull/93,MERGED,1,197,197,394,4,"Update indentation in server.py to use 2 spaces and remove trailing whitespace

- Changed indentation in server.py to use 2 spaces with 4 space hanging indentation to match codebase style
- Removed trailing whitespace from all files in the codebase

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
dbieber,GoNoteGo,101,https://github.com/dbieber/GoNoteGo/pull/101,MERGED,1,18,26,44,1,"Fix note taking system selection values in settings UI

Update the settings UI to send lowercase system values to the backend when selecting from the dropdown. This ensures consistency between the UI labels and the values expected by the backend system.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
dbieber,GoNoteGo,102,https://github.com/dbieber/GoNoteGo/pull/102,MERGED,1,27,3,30,1,"Convert Blob Storage System to dropdown with Dropbox option

Update the Blob Storage System field in the settings UI to be a dropdown with Dropbox as an option.
This ensures that when selected, it sets the value to 'dropbox' as expected by the backend.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
dbieber,GoNoteGo,111,https://github.com/dbieber/GoNoteGo/pull/111,MERGED,1,2,0,2,1,"Add US keyboard layout configuration to build workflow

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
defog-ai,introspect,426,https://github.com/defog-ai/introspect/pull/426,MERGED,1,105,28,133,1,"Improve date parsing in export_df_to_postgres function

- Add function to detect date-related column names
- Enhance date detection with explicit regex patterns
- Better handle MM/DD/YYYY format dates
- Preserve original column names for better type inference
- Consider column names when deciding on date columns
- Lower threshold for date detection when column name suggests date

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
defog-ai,introspect,431,https://github.com/defog-ai/introspect/pull/431,MERGED,1,71,12,83,2,"Enhance data type detection and Excel file handling

- Improved column type detection by adding numeric term recognition
- Added special handling for year columns with intelligent detection
- Enhanced numeric detection with adaptive thresholds for columns with numeric terms
- Fixed Excel file parsing to properly handle sheets
- Added handling to drop empty rows and columns in CSV and Excel uploads

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
defog-ai,introspect,458,https://github.com/defog-ai/introspect/pull/458,MERGED,3,474,43,517,10,"Add PDF file management with delete functionality

- Create backend API for deleting PDF files from projects
- Add a new ProjectFiles component for managing PDF files
- Implement file deletion with confirmation dialog
- Simplify UI with direct action buttons
- Remove local library links from package.json

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>
forgot to commit
bump lib to 1.7.0"
defog-ai,introspect,465,https://github.com/defog-ai/introspect/pull/465,MERGED,1,39,0,39,1,"Add get_tables_and_files route to integration_routes.py

Added a new route that returns all tables in a database and all PDF files associated with it, enabling clients to get complete database resources in a single API call.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
devondragon,SpringUserFramework,163,https://github.com/devondragon/SpringUserFramework/pull/163,MERGED,1,37,33,70,3,"Fix inaccurate Javadoc on confirmRegistration method and improve other Javadoc comments

- Fixed incorrect description in UserActionController.confirmRegistration
- Fixed parameter name in UserVerificationService.getVerificationToken
- Updated return type description in UserVerificationService.validateVerificationToken
- Removed duplicate class-level Javadoc in UserService
- Enhanced Javadoc for key methods with more thorough descriptions
- Added security warning to authWithoutPassword method

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
devondragon,SpringUserFramework,165,https://github.com/devondragon/SpringUserFramework/pull/165,MERGED,1,92,2,94,5,"Add update password API endpoint and functionality

- Add new updatePassword endpoint to the UserAPI class
- Implement password update logic with proper validation and error handling
- Add localized messages for password update success and failure
- Add unit tests for both API and service level functionality
- Validate old password before allowing password updates
- Audit password change events

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
devondragon,workers-users,26,https://github.com/devondragon/workers-users/pull/26,MERGED,1,374,0,374,3,"docs: Add README files for all three packages

Add detailed documentation for session-state, user-mgmt, and account-pages modules,
explaining their purpose, features, configuration, and integration details.

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
ditto-assistant,ditto-app,422,https://github.com/ditto-assistant/ditto-app/pull/422,MERGED,1,187,12,199,7,"fix(ui): implement avatar cache to prevent 429 errors

- Created useUserAvatar hook for intelligent avatar caching
- Integrated with service worker for persistent caching
- Updated ChatMessage component to use cached avatars
- Fixed Ditto description in CLAUDE.md to better reflect its purpose
- Released version 0.11.66

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
dominikszopa,fundraising-website,86,https://github.com/dominikszopa/fundraising-website/pull/86,MERGED,2,201,28,229,12,"Initial automatic changes by Claude Code
Fix paragraph spacing"
doobidoo,mcp-memory-service,8,https://github.com/doobidoo/mcp-memory-service/pull/8,MERGED,1,139,63,202,5,"Fix PyTorch installation for macOS Intel x86_64

- Fix platform detection in memory_wrapper.py to correctly identify macOS
- Update install.py to use the correct PyTorch versions for macOS Intel (1.13.1/0.14.1/0.13.1)
- Update documentation to clearly explain macOS Intel requirements
- Add additional patterns to .gitignore

This fix prevents the script from mistakenly trying to use Windows-specific installation scripts on macOS.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
douvy,btc-tooling,25,https://github.com/douvy/btc-tooling/pull/25,MERGED,1,397,105,502,4,"Implement mobile optimization for OrderBook with touch events and responsive UI

- Add touch event support for mobile devices with gesture handling
- Create mobile-specific layout with optimized display elements
- Enhance OrderBookTooltip for better mobile experience
- Fix TypeScript errors in the orderbook API
- Add fadeIn animation to Tailwind configuration

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
etalab,admin_api_entreprise,1835,https://github.com/etalab/admin_api_entreprise/pull/1835,MERGED,1,34,1,35,2,"Fix: Handle empty provider_uids when editing users

- Fix bug when removing all providers from a user
- Refactor logic into a user_update_params method
- Add test to verify removing all providers works correctly

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
evmts,tevm-monorepo,1587,https://github.com/evmts/tevm-monorepo/pull/1587,MERGED,1,58,0,58,1,"📝 docs: add Claude commit command with emoji and conventional commit guidelines

The commit command helps create well-formatted commits with emoji conventional format.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1726,https://github.com/expectedparrot/edsl/pull/1726,MERGED,1,55,57,112,19,"Fix imports to use relative paths within the edsl package

This commit fixes import patterns throughout the codebase to ensure:
1. All imports within the edsl package use relative imports
2. Deep imports that bypass __init__.py are removed or fixed
3. Circular imports are eliminated

These changes improve code maintainability and make the codebase more
modular and easier to reason about.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1728,https://github.com/expectedparrot/edsl/pull/1728,MERGED,1,155,5,160,4,"Fix file key extraction in template references

- Renames question_file_keys property to file_keys_from_question to fix naming conflict
- Enhances template variable detection to support both formats:
  - Direct references: {{ file_key }}
  - Scenario-prefixed references: {{ scenario.file_key }}
- Adds comprehensive test coverage for both formats
- Fixes potential issue when accessing FileStore objects with Python keyword names

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1730,https://github.com/expectedparrot/edsl/pull/1730,MERGED,1,37,0,37,1,"Add documentation for using HTML/XML tags in question text

Document the ability to use HTML and XML tags within question text, with examples
showing usage with language specification and formatting.

Closes #1721

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1731,https://github.com/expectedparrot/edsl/pull/1731,MERGED,1,1913,1801,3714,10,"Restructure base and config into proper modules

- Create dedicated modules for base and config functionality
- Move enums and data_transfer_models into the base module
- Maintain backward compatibility with wrapper modules
- Improve code organization while ensuring no API breakage
- Add proper imports and exports in __init__.py files

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1768,https://github.com/expectedparrot/edsl/pull/1768,MERGED,1,58,3,61,3,"Add dynamic doc URL generation to BaseException

- Added get_doc_url() method to BaseException to generate documentation URLs
- Added doc_page and doc_anchor attributes to replace hardcoded URLs
- Updated SurveyError and SurveyCreationError to use new attributes
- Added test to verify URL generation works correctly

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
expectedparrot,edsl,1783,https://github.com/expectedparrot/edsl/pull/1783,MERGED,1,76,4,80,3,"Fix ScenarioList.from_csv() to handle non-UTF-8 encoding

- Added encoding fallback mechanism to try multiple encodings
- Added error handling for file opening and reading
- Added unit test with a test CSV file containing non-UTF-8 characters
- Resolves #1781"
expectedparrot,edsl,1799,https://github.com/expectedparrot/edsl/pull/1799,MERGED,1,71,22,93,4,"Modify ScenarioList.from_directory() to wrap files in Scenarios

- Add key_name parameter to ScenarioList.from_directory() method
- Each FileStore is now wrapped in a Scenario with key_name as the key (defaults to ""content"")
- Update unit tests to check for Scenario objects and access FileStore objects
- Add test for custom key_name parameter
- Update documentation in scenarios.rst and filestore.rst

Resolves #1798

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
