owner,repo_name,pull_number,url,state,initial_commit,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change,text
alexei-led,aws-mcp-server,5,https://github.com/alexei-led/aws-mcp-server/pull/5,MERGED,1,10,22,32,3,fix: update Dockerfile to install Session Manager plugin only for x86_64 architecture and simplify dependency installation in CI
alexei-led,aws-mcp-server,7,https://github.com/alexei-led/aws-mcp-server/pull/7,MERGED,1,31,69,100,8,fixing version work with setuptools_scm in Docker build
anthropics,anthropic-cookbook,73,https://github.com/anthropics/anthropic-cookbook/pull/73,MERGED,1,72,0,72,1,Add a tool use/JSON example where input is undefined
anthropics,anthropic-quickstarts,262,https://github.com/anthropics/anthropic-quickstarts/pull/262,MERGED,2,12,3,15,2,"fix: respect user-selected tool version in computer use demo

Ensure the tool version selected via the radio button is properly used
in API calls instead of defaulting to the model config value. This
allows custom model strings to specify the computer use beta version
they require.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>
pinned streamlit to 1.41.0"
anthropics,claude-code,698,https://github.com/anthropics/claude-code/pull/698,MERGED,1,87,0,87,1,post changelog file
anthropics,devcontainer-features,3,https://github.com/anthropics/devcontainer-features/pull/3,MERGED,1,5,0,5,1,Add GitHub token for repository tagging
artsy,eigen,10279,https://github.com/artsy/eigen/pull/10279,MERGED,1,25,20,45,2,"feat: fixes suppress artwork copy, rearrange context menu, enable feature flag"
ascorbic,unpic-img,720,https://github.com/ascorbic/unpic-img/pull/720,MERGED,1,49,27,76,1,ci: try a better lockfile action
ascorbic,unpic-img,765,https://github.com/ascorbic/unpic-img/pull/765,MERGED,1,15,13,28,2,chore: update more
axelclark,ex338,1353,https://github.com/axelclark/ex338/pull/1353,MERGED,1,419,339,758,46,"Upgrade Phoenix LiveView to v1.0

- Update phoenix_live_view to version ~> 1.0
- Update related phoenix dependencies
- Replace deprecated API calls (push_redirect -> push_navigate, live_flash -> Phoenix.Flash.get)
- Add JavaScript shim for phx-feedback-for compatibility
- Fix tests and adapt to new API changes
- Make flash component IDs dynamic to eliminate duplicate ID warnings
- Fix unused imports in test files"
basicmachines-co,basic-memory,4,https://github.com/basicmachines-co/basic-memory/pull/4,MERGED,5,894,483,1377,22,"fix sync
db_version_service
add schema version model
add db check at startup
fix sync test"
bcpeinhardt,learn_otp_with_gleam,1,https://github.com/bcpeinhardt/learn_otp_with_gleam/pull/1,MERGED,1,31209,10,31219,8,parallel letter frequency example in tasks
bearcove,dylo,1,https://github.com/bearcove/dylo/pull/1,MERGED,1,16,2,18,3,chore(dylo-cli): release v1.0.1
beatrix-ha,beatrix,31,https://github.com/beatrix-ha/beatrix/pull/31,MERGED,6,656,282,938,16,"why cant we all agree on this stupid file
It's a start
Fix Cursor
Clean up this mess
Open the item if there's only one
Reorganize a bit"
beekeeper-studio,beekeeper-studio,2633,https://github.com/beekeeper-studio/beekeeper-studio/pull/2633,MERGED,1,14,2,16,2,Fix Iam toggling requiring SSL for no reason
bendotcodes,cookies,866,https://github.com/bendotcodes/cookies/pull/866,MERGED,1,2,2,4,2,Fix react links
brentyi,jaxls,39,https://github.com/brentyi/jaxls/pull/39,MERGED,1,157,57,214,3,Add option to return summary from `.solve()`
brentyi,tyro,176,https://github.com/brentyi/tyro/pull/176,MERGED,1,17,1,18,2,"More complete wrappers in `tyro.extras` (for `torchrun`, etc)"
brentyi,tyro,249,https://github.com/brentyi/tyro/pull/249,MERGED,1,6,6,12,2,Reduce `Unknown` types at API boundaries
chairemobilite,transition,1164,https://github.com/chairemobilite/transition/pull/1164,MERGED,1,2,9,11,2,"fix left menu titles not appearing when hovering

closes #1153"
cloudflare,workerd,2447,https://github.com/cloudflare/workerd/pull/2447,MERGED,1,6,0,6,1,EW-8589 add a compat date to support custom ports for worker subrequests
cloudflare,workerd,3118,https://github.com/cloudflare/workerd/pull/3118,MERGED,1,28,47,75,6,"Revert ""Update node crypto kdf apis to use BufferSource"""
cmackenzie1,torii-rs,7,https://github.com/cmackenzie1/torii-rs/pull/7,MERGED,1,2,0,2,2,add splash image
codeforjapan,mapprint,511,https://github.com/codeforjapan/mapprint/pull/511,MERGED,1,0,17462,17462,54,remove failed version of dir
codeforjapan,mapprint,525,https://github.com/codeforjapan/mapprint/pull/525,MERGED,2,745,635,1380,28,"Add SASS dependency to package files
- Update package.json and package-lock.json with sass dependency
- Required for proper SASS compilation and print styles

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>

## 概要 | About

<!--
- Fix: #xxx
- このPull Requestの目的を説明する
-->

## 動作確認方法 | How to check

<!--
- このPull Requestが正常に動くことを他人が確認できるような手順を書く
- このPull Requestで影響を受ける範囲の動作確認を他人が検証できるような手順を書く
-->

## スクリーンショット | Screenshot

<!--
- このPull Requestの影響を受ける範囲のスクリーンショットを貼る
- 見た目に影響がない場合は「なし」と書く

### Before
-

### After
-

-->
modify language files"
codefriar,sf-mcp,2,https://github.com/codefriar/sf-mcp/pull/2,MERGED,1,92,95,187,4,"feat(context directories): All commands require a directory

to execute from, so that the child_process can CWD there, and the sf cli understand it's project context"
coder,coder,13391,https://github.com/coder/coder/pull/13391,MERGED,1,2,2,4,1,"Update manifest.json

Change Secure Browser > Enterprise Browser per Island's direction."
coder,coder,13426,https://github.com/coder/coder/pull/13426,MERGED,1,32,74,106,9,"chore: remove `failing_sections` from healthcheck

Closes #10854."
coder,coder,13618,https://github.com/coder/coder/pull/13618,MERGED,1,13,11,24,1,fix: track login page correctly
coder,coder,13924,https://github.com/coder/coder/pull/13924,MERGED,1,24,0,24,3,chore: add Star the Repo to support links
coder,coder,14353,https://github.com/coder/coder/pull/14353,MERGED,1,10,0,10,1,"chore: sign the windows installer

We have been signing all Windows executablees, but not the installer."
coder,coder,14936,https://github.com/coder/coder/pull/14936,MERGED,1,1,1,2,1,"Update 2.13.x support status to ""Not Supported"""
coder,coder,14937,https://github.com/coder/coder/pull/14937,MERGED,1,2,2,4,1,"docs: fix to provisioners.md to add a missing character

Changed yaml example references with provisioneraemon:  to provisionerDaemon:"
coder,coder,15098,https://github.com/coder/coder/pull/15098,MERGED,1,3,3,6,1,fix: fix error handling to prevent spam in proc prio management (#15071)
coder,coder,16457,https://github.com/coder/coder/pull/16457,MERGED,1,2,2,4,1,comment out optional lines in values.yaml
coder,coder,16943,https://github.com/coder/coder/pull/16943,MERGED,1,1,1,2,1,switch external-auth order
coder,coder,17002,https://github.com/coder/coder/pull/17002,MERGED,1,32,0,32,1,add the start workspace workflow
commontoolsinc,labs,18,https://github.com/commontoolsinc/labs/pull/18,MERGED,4,433,86,519,3,"Update gitignore
Interpreting JSON to rxjs graph
Graph JSON -> rendered HTML node
Cleanup"
commontoolsinc,labs,502,https://github.com/commontoolsinc/labs/pull/502,MERGED,2,52,20,72,1,"document cell interface for system vs spells (+ minor fix for update)
minor fix: for push it's ok to follow references as well, since we treat the array as value"
commontoolsinc,labs,1000,https://github.com/commontoolsinc/labs/pull/1000,MERGED,1,7,0,7,1,Suppress keyboard events within Composer to prevent CommandCenter handling them
cpunion,axum-params,1,https://github.com/cpunion/axum-params/pull/1,MERGED,1,3277,0,3277,16,rails-like params
danmayer,coverband,538,https://github.com/danmayer/coverband/pull/538,MERGED,1,103,7,110,8,fixes #467 this is a useful feature for some folks with complex deployments
daytonaio,docs,328,https://github.com/daytonaio/docs/pull/328,MERGED,1,3,2,5,2,"feat: add links to LLMs context files

Add llms.txt and llms-full.txt links to documentation to help users leverage AI assistants for development.

Signed-off-by: nkkko <nikola.balic@gmail.com>"
dbieber,GoNoteGo,56,https://github.com/dbieber/GoNoteGo/pull/56,MERGED,9,22,44,66,3,"enable ssh and pi user on startup
Use US country for wifi by default
Remove tab and add -y
libopenblas-dev
python-dateutil
pin python dep for selenium compat; remove unused mouse and leds jobs; run usercode from /home/pi
try different boot dir
Make paritions explicit
Add to history"
dbieber,GoNoteGo,59,https://github.com/dbieber/GoNoteGo/pull/59,MERGED,1,5,1,6,1,iptables
dbieber,GoNoteGo,67,https://github.com/dbieber/GoNoteGo/pull/67,MERGED,1,1,1,2,1,Remove openai dep
dbieber,GoNoteGo,68,https://github.com/dbieber/GoNoteGo/pull/68,MERGED,1,15,15,30,1,Fix max version numbers
dbieber,GoNoteGo,105,https://github.com/dbieber/GoNoteGo/pull/105,MERGED,1,1,3,4,2,Clean up wifi changes
defog-ai,defog-python,72,https://github.com/defog-ai/defog-python/pull/72,MERGED,4,195,40,235,3,"add `post_tool_function` param
add tests for post_tool_function
update version
linting"
defog-ai,introspect,73,https://github.com/defog-ai/introspect/pull/73,MERGED,8,559,590,1149,31,"add db creds table
use get_api_key_from_key_name function
improve .env.template
used key_name for query routes
pretty big changes that help make sure we can support multiple api keys on the backend
fixes to multiple backend processes
preliminary frontend fixes
made all needed frontend changes"
defog-ai,introspect,258,https://github.com/defog-ai/introspect/pull/258,MERGED,1,20,14,34,1,"update question generation mode to expect dependent variable groups, instead of individual dependent variables"
defog-ai,introspect,407,https://github.com/defog-ai/introspect/pull/407,MERGED,19,328,3673,4001,43,"remove oracle folder
update db models and oracle routes
remove unused prompts
move oracle clarifications into own folder
update oracle clarification routes
delete unused test file
update reports and analysis db model
remove unused stuff
fix function by adding db type creds
add set_analysis and set_report helper functions
add generate report
update sorry response
fix silly bugs
handle null states better
kill unused code
up defog library version
increase timeout to 10 minutes
simplify oracle report creation
tweak prompts"
defog-ai,introspect,473,https://github.com/defog-ai/introspect/pull/473,MERGED,2,132,39,171,6,"add citations for multi-agent report generation
add report_content_with_citations field in reports table and update report generation logic"
defog-ai,introspect,491,https://github.com/defog-ai/introspect/pull/491,MERGED,1,68,27,95,1,"use gemini pro 2.5 for web search, when GEMINI_API_KEY is set"
devondragon,SpringUserFramework,148,https://github.com/devondragon/SpringUserFramework/pull/148,MERGED,10,175,121,296,8,"make controller path mappings configurable
Merge pull request #139 from Edamijueda/issue-#135

make controller path mappings configurable
Merge pull request #143 from devondragon/issue-135-Make-Controller-Path-Mappings-Configurable

Issue 135 make controller path mappings configurable
Migrate schema.sql from resources to db-scripts directory
Merge pull request #146 from devondragon/issue-145-BUG---Schema-file-is-in-a-location-where-it-is-automatically-executed

Migrate schema.sql from resources to db-scripts directory
[Gradle Release Plugin] - pre tag commit:  '3.0.1'.
[Gradle Release Plugin] - new version commit:  '3.0.2-SNAPSHOT'.
Update CHANGELOG.md

Cleaning up the AI generated CHANGELOG
Merge pull request #147 from devondragon/devondragon-changelog-1

Update CHANGELOG.md
Update README.md

Updated Maven Central library version numbers"
devondragon,workers-users,23,https://github.com/devondragon/workers-users/pull/23,MERGED,2,179,92,271,5,"chore: Refactor session state code and add error handling

Refactor session state code into smaller files and add error handling for creating, updating, retrieving, and deleting sessions.
chore: Refactor session state code and improve error handling"
ditto-assistant,ditto-app,106,https://github.com/ditto-assistant/ditto-app/pull/106,MERGED,1,3,35,38,2,use mistral for text only main agent prompting
dominikszopa,fundraising-website,58,https://github.com/dominikszopa/fundraising-website/pull/58,MERGED,2,89,19,108,4,"Initial docker files
Updated docker files
Updated README"
doobidoo,mcp-memory-service,17,https://github.com/doobidoo/mcp-memory-service/pull/17,MERGED,1,1077,8,1085,9,"feat: Enhance UV integration for improved dependency management

Add comprehensive UV support with:
- UV wrapper scripts (uv_wrapper.py, memory_wrapper_uv.py)
- UV configuration (.uv/config.toml)
- Migration tools (scripts/convert_to_uv.py, scripts/install_uv.py)
- Updated documentation with UV-first approach
- UV detection in server.py
- Shortcut scripts for Windows and Unix

This improves dependency resolution speed, cross-platform
compatibility, and handles PyTorch installation complexities
more effectively, while maintaining backward compatibility."
douvy,btc-tooling,22,https://github.com/douvy/btc-tooling/pull/22,MERGED,3,319,135,454,9,"Implement OrderBook basic structure with amount controls

- Create mock data generator for OrderBook
- Implement static UI layout with sample data
- Add functional amount control buttons
- Add hover effects and highlighting for orders
- Improve responsiveness with fixed height sections

Closes #12 (OrderBook Iteration 1)
Add Issue Completion Protocol to CLAUDE.md
orderbook-basic: Update CLAUDE.md with server restart capability and cleanup mockData.ts"
etalab,admin_api_entreprise,1703,https://github.com/etalab/admin_api_entreprise/pull/1703,MERGED,1,446,1550,1996,2,Update local OpenAPI files
expectedparrot,edsl,400,https://github.com/expectedparrot/edsl/pull/400,MERGED,1,6,3,9,1,Make memory fluent
expectedparrot,edsl,412,https://github.com/expectedparrot/edsl/pull/412,MERGED,1,9,15,24,2,Fix gg mixin bug & make sql-fluent
expectedparrot,edsl,416,https://github.com/expectedparrot/edsl/pull/416,MERGED,2,52,17,69,5,"Allow cache = False
Increasing allowed question options to 200"
expectedparrot,edsl,463,https://github.com/expectedparrot/edsl/pull/463,MERGED,1,1,1,2,1,Missing package for anthropic models
expectedparrot,edsl,486,https://github.com/expectedparrot/edsl/pull/486,MERGED,1,9,2,11,1,Fix flatten issue
expectedparrot,edsl,546,https://github.com/expectedparrot/edsl/pull/546,MERGED,1,47,29,76,2,Better exceptions for filtering
expectedparrot,edsl,552,https://github.com/expectedparrot/edsl/pull/552,MERGED,2,57,3,60,3,"Make survey a callable object
Add scoring function to Results object"
expectedparrot,edsl,561,https://github.com/expectedparrot/edsl/pull/561,MERGED,5,73,9,82,6,"Make survey a callable object
Add scoring function to Results object
More information about failure
Add and remove edsl version stuff from language model serialization
Helper function to_survey to make more fluent"
expectedparrot,edsl,569,https://github.com/expectedparrot/edsl/pull/569,MERGED,7,676,87,763,23,"Change defaults on Scenario list
Add image support
Create a scenario list from a pandas DF
Add meaningful HTML method to all questions
More support for HTML
HTML methods for the more obscure exmples
Some helper functions for Agent/AgentList"
expectedparrot,edsl,597,https://github.com/expectedparrot/edsl/pull/597,MERGED,1,79,0,79,1,Add features to ScenarioList
expectedparrot,edsl,601,https://github.com/expectedparrot/edsl/pull/601,MERGED,4,93,6,99,5,"Should fix Issue #599
Get serialization stuff out of key/value methods in Base
Dont' check for API keys by default
Print a scenario list like a table"
expectedparrot,edsl,642,https://github.com/expectedparrot/edsl/pull/642,MERGED,1,0,2,2,1,Remove errant break point
geneontology,go-ontology,30119,https://github.com/geneontology/go-ontology/pull/30119,MERGED,3,11,0,11,1,"Adding DisjointUnion axiom for chromosome.
DU for Organelle

Proposed: `'membrane-bounded organelle', 'membraneless organelle'`

Why is 'postsynaptic specialization' currently sitting outside?
DisjointUnion cellular_component
Proposed: 'protein-containing complex', 'virion component', 'cellular anatomical structure'"
gianlucamazza,solana-mmaker,2,https://github.com/gianlucamazza/solana-mmaker/pull/2,MERGED,1,51,8,59,3,wip
giselles-ai,giselle,36,https://github.com/giselles-ai/giselle/pull/36,MERGED,6,231,25,256,6,"add isFinal type
show final node label
set final node
remove
tweak
fix migrate script"
giselles-ai,giselle,65,https://github.com/giselles-ai/giselle/pull/65,MERGED,1,24,48,72,2,"refactor(graph): Inline debounce logic in GraphProvider

Simplify state management by removing separate useDebounce hook and
incorporating debouncing directly in the GraphProvider component.
The functionality remains the same but with cleaner code organization.

Key changes:
- Remove standalone useDebounce hook
- Add timeout handling directly in enhancedDispatch
- Clean up timeout on component unmount
- Fix potential memory leak by clearing timeout between state updates

The 500ms debounce delay for graph updates is preserved."
giselles-ai,giselle,68,https://github.com/giselles-ai/giselle/pull/68,MERGED,24,1862,955,2817,25,"fix(graph): Set final flag on target nodes in graph connections

Remove check for existing final nodes and always mark new target nodes as
final in addNodesAndConnect action. This ensures consistent node state
handling in the graph visualization.
feat(flow): Implement persistent flow storage and indexing

Add flow persistence and state management improvements:
- Store flow data in Vercel Blob storage
- Add FlowIndex type to track flow metadata separately
- Restructure flow state management with new actions/reducers
- Add initialization and queuing states

This change improves flow execution reliability by persisting flow data
and separating flow metadata from execution state.
prototype view
feat(flow): Add streaming flow execution with action status updates

Implement streaming execution pipeline for flow actions with real-time
status updates:
- Add new replaceFlowAction type and reducer
- Refactor runAction to use streaming pattern with ai/rsc
- Move action status management to server-side streaming updates
- Simplify client-side flow
feat(flow): Add streaming action status updates

Implement new flow action streaming architecture for real-time status updates:
- Add replaceFlowAction reducer to handle granular action state changes
- Refactor runAction to use streaming updates via createStreamableValue
- Remove synchronous action status updates in favor of streaming approach

This change improves UI responsiveness by providing immediate feedback on
action execution state changes.
feat(flow): Add output field to flow actions

Implement action output display functionality:
- Add output string field to Running and Completed flow actions
- Update UI to show output in ActionItem component
- Modify generateText to demonstrate output streaming updates

This change enables real-time display of action outputs, improving
visibility of action execution progress and results.
feat(flow): Implement text generation with OpenAI integration

Add text generation functionality with streaming responses:
- Integrate OpenAI GPT-4 model for text generation
- Add source-aware system prompts for context-based responses
- Modify output type to handle structured streaming responses
- Update UI to properly display JSON and string outputs
feat(flow): Add artifact creation and management

Implement artifact handling within flow execution:
- Add artifacts array to Flow type to track generated content
- Create addArtifact action and reducer for artifact management
- Wire up text generator to create and store artifacts
- Update flow initialization to include artifacts state

This change enables persistent storage of generated content and proper
artifact tracking throughout the flow execution lifecycle.
refactor: restructure flow execution system

- Rename FlowAction to Step and FlowActionLayer to Job for clearer semantics
- Simplify flow execution by moving core logic to server-side
- Update action types and reducers to handle new Step/Job structure
- Add prompt resolution logic for steps
- Improve state management for step execution and output handling
- Remove client-side flow building during execution
fix: add stepId to setStepOutput action and fix flow reducer

- Add stepId field to SetStepOutputAction interface
- Implement missing setStepOutput case in flow reducer
- Clean up unused imports in server-action.ts
- Add stream.done() call after flow execution
feat(flow): Add streaming status and improve step state handling

Enhance flow execution with intermediate streaming state and more robust
step status management. Changes include:

- Add new ""streaming"" status for better progress indication
- Rename setStepOutput to updateStep with unified status/output updates
- Refactor step state transitions in flow reducer
- Update UI components to handle streaming state
- Improve action item display with cleaner output rendering

This change provides better visibility into step execution progress and
a more maintainable state management approach.
refactor(flow): Simplify step update logic in v2FlowReducer

Reorganize step status and output updates to be more maintainable:
- Consolidate conditional logic for progress states
- Use object spread for cleaner property updates
- Remove nested if statements for better readability

No behavioral changes, purely internal code restructuring.
feat(viewer): Add artifact rendering and update action item display

Implement new artifact rendering functionality and refine action item UI:
- Add ArtifactRender component for displaying markdown content
- Show latest generated artifact in viewer main panel
- Simplify action item by removing output text display
- Update spinner behavior for different step statuses

The changes improve the user experience by focusing on artifact presentation
while streamlining the action item status indicators.
tweak
refactor(flow): Simplify flow actions and add source resolution

Major refactoring of flow execution system:
- Remove replaceStep action as it's no longer needed
- Add source resolution for steps using files and text content
- Make flow building async to support source fetching
- Add TypeScript improvements and type assertions

BREAKING CHANGE: buildFlow is now an async function and must be awaited
style(viewer): Improve scroll behavior for beta prototype viewer

Add overflow handling to prevent layout issues with large artifacts and
improve the user experience by making the artifact section scrollable
while keeping the job list fixed.

Also comment out unused finalNodeId display.
refactor: simplify artifact and node element types

- Remove unused elements array from Artifact type
- Remove redundant fields from GiselleNodeArtifactElement (category, properties)
- Update artifact generation code to reflect simplified types
feat: Add artifact chaining in flow execution

- Maintain array of generated artifacts during flow execution
- Pass previous artifacts as sources to subsequent steps
- Rename generateText to generateArtifactObject for clarity
- Add artifact generation and tracking logic in flow execution
fix: Add overflow-hidden to viewer container

Prevent viewport overflow in the flow viewer by adding overflow-hidden CSS property to the main container div.
refactor: Add action type switching for flow steps

- Add switch statement to handle different step action types
- Move artifact generation into textGenerator case
- Remove debug console.log statement
- Prepare structure for handling multiple step action types
feat(flow): Implement web search artifact generation and processing

Add web search functionality to the flow system with the following changes:
- Create new WebSearchArtifact type and generation logic
- Implement chunked processing of search results using FirecrawlJS
- Add streaming support for search progress updates
- Update source types and utils to handle web search artifacts
- Remove TODO placeholder for web search implementation

The implementation includes markdown content storage in Vercel Blob storage
and proper error handling for failed scraping tasks.
feat(flow): Implement web search artifact generation and processing

Add web search functionality to the flow system with the following changes:
- Create new WebSearchArtifact type and generation logic
- Implement chunked processing of search results using FirecrawlJS
- Add streaming support for search progress updates
- Update source types and utils to handle web search artifacts
- Remove TODO placeholder for web search implementation

The implementation includes markdown content storage in Vercel Blob storage
and proper error handling for failed scraping tasks.
feat(viewer): implement tabbed artifact viewer

Add tabbed navigation to the artifact viewer with the following changes:
- Integrate Radix UI Tabs component for step navigation
- Update StepItem to function as a tab trigger button
- Show artifacts for both streaming and completed steps
- Replace single artifact view with multi-tab content display
- Update styling for better visual hierarchy
- Fix model name to use gpt-4o-mini

The changes enable users to switch between different step outputs
instead of only viewing the last artifact.
refactor: reorganize artifact types and improve flow generation

- Split artifacts into TextArtifact and WebSearchArtifact types
- Add builder functions for artifacts and generator nodes
- Move source handling to dedicated files
- Improve type safety for step outputs
- Limit web search results to top 2 by relevance
- Clean up flow execution with GenerateResult type"
giselles-ai,giselle,74,https://github.com/giselles-ai/giselle/pull/74,MERGED,1,4,7,11,2,"feat: Set 5-minute timeout for Agent playground page

Now that we know how to set maxDuration on a page-by-page basis, we have changed from using vercel.json to specify it for the entire project.
https://nextjs.org/docs/app/api-reference/file-conventions/route-segment-config#maxduration

Also, when executing the Run function, MaxDuration is now set to the maximum of 5 minutes, since the previous 1 minute may be too short."
